timestamp,message
1739469968620,"Error processing file 83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied
"
1739469968620,"Processing file: 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe
"
1739469968620,"Downloading file: 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe from bucket: testing-malware-scan-bucket
"
1739469968666,"File hash (SHA256): 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b
"
1739469968666,"Checking hash 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b against VirusTotal...
"
1739469968869,"VirusTotal response: 50 malicious detections
"
1739469968870,"Moving malicious file 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe to quarantine: quarantine/850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe
"
1739469968886,"Error processing file 850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied
"
1739469968886,"Processing file: 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe
"
1739469968886,"Downloading file: 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe from bucket: testing-malware-scan-bucket
"
1739469968927,"File hash (SHA256): 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba
"
1739469968927,"Checking hash 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba against VirusTotal...
"
1739469969424,"VirusTotal response: 47 malicious detections
"
1739469969425,"Moving malicious file 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe to quarantine: quarantine/8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe
"
1739469969441,"Error processing file 8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied
"
1739469969441,"Processing file: b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe
"
1739469969441,"Downloading file: b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe from bucket: testing-malware-scan-bucket
"
1739469969485,"File hash (SHA256): b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe
"
1739469969485,"Checking hash b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe against VirusTotal...
"
1739469969717,"Error checking VirusTotal: 429
"
1739469969717,"Processing file: d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe
"
1739469969717,"Downloading file: d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe from bucket: testing-malware-scan-bucket
"
1739469969762,"File hash (SHA256): d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9
"
1739469969762,"Checking hash d98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9 against VirusTotal...
"
1739469969920,"Error checking VirusTotal: 429
"
1739469969921,"Processing file: df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3.exe
"
1739469969921,"Downloading file: df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3.exe from bucket: testing-malware-scan-bucket
"
1739469969952,"File hash (SHA256): df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3
"
1739469969952,"Checking hash df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3 against VirusTotal...
"
1739469970093,"Error checking VirusTotal: 429
"
1739469970093,"Processing file: e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343.exe
"
1739469970093,"Downloading file: e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343.exe from bucket: testing-malware-scan-bucket
"
1739469970139,"File hash (SHA256): e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343
"
1739469970139,"Checking hash e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343 against VirusTotal...
"
1739469970404,"Error checking VirusTotal: 429
"
1739469970404,"Processing file: e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3.exe
"
1739469970404,"Downloading file: e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3.exe from bucket: testing-malware-scan-bucket
"
1739469970443,"File hash (SHA256): e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3
"
1739469970443,"Checking hash e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3 against VirusTotal...
"
1739469970588,"Error checking VirusTotal: 429
"
1739469970588,"Scan completed.
"
1739469970588,"Lambda result: {'120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe (2)': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', '8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe': 'Error processing file: An error occurred (AccessDenied) when calling the CopyObject operation: Access Denied', 'b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe': 'File is clean.', 'd98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe': 'File is clean.', 'df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3.exe': 'File is clean.', 'e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343.exe': 'File is clean.', 'e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3.exe': 'File is clean.'}
"
1739469973434,"START RequestId: cb2e82c4-031a-439f-adde-4f9bc9f57e3d Version: $LATEST
"
1739469973435,"Starting malware scan on bucket: testing-malware-scan-bucket
"
1739469973435,"Processing all files in bucket: testing-malware-scan-bucket
"
1739469973435,"Listing files in bucket: testing-malware-scan-bucket
"
1739469973452,"Files in bucket: ['120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe', '1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe (2)', '220c50ccf6a9d9727e9f442df42469f027d9f7a2ea833319971746280023bb0c.exe', '83ad319279941b4fb21ba7ba1a0558e0770ddc21521665757810ecb0222b8f5a.exe', '850a2090e3dd9c23f4777035a6e98a4ecbfd305b380c16645cf5d5a48dbd062b.exe', '8f94159f886da37cbed0ea9b30219e2f4f139d67a7040465e8c76bb6c1b639ba.exe', 'b5b2249413d21165cebf03c86e08d9b1e711e4e8617196e9c6f124a1632958fe.exe', 'd98bdf3508763fe0df177ef696f5bf8de7ff7c7dc68bb04a14a95ec28528c3f9.exe', 'df90e36ead46dcff6b6235a71ef05f6ca52250f432ddb46a4a0b8b9142660ba3.exe', 'e2b03931b8adf597caceb14e8b3016586fc91e296d34b2395ed2da140a9b6343.exe', 'e58b80e4738dc03f5aa82d3a40a6d2ace0d7c7cfd651f1dd10df76d43d8c0eb3.exe']
"
1739469973452,"Processing file: 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe
"
1739469973452,"Downloading file: 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b.exe from bucket: testing-malware-scan-bucket
"
1739469973618,"File hash (SHA256): 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b
"
1739469973618,"Checking hash 120816daada4aeb05da2ee888fe52f25c37b7aba3915da8534904b8247c8526b against VirusTotal...
"
1739469973835,"Error checking VirusTotal: 429
"
1739469973835,"Processing file: 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe
"
1739469973835,"Downloading file: 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe from bucket: testing-malware-scan-bucket
"
1739469973979,"File hash (SHA256): 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50
"
1739469973979,"Checking hash 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50 against VirusTotal...
"
1739469974299,"Error checking VirusTotal: 429
"
1739469974299,"Processing file: 1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50.exe (2)
"
